Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,100.559998,101.169998,99.470001,100.830002,100.327278,6607700
2023-01-04,102.690002,104.730003,102.550003,104.459999,103.939178,8166600
2023-01-05,104.489998,105.099998,103.489998,104.430000,103.909325,5575100
2023-01-06,105.379997,107.000000,105.010002,106.690002,106.158058,9641300
2023-01-09,106.519997,106.680000,104.430000,104.739998,104.217781,10124800
2023-01-10,104.360001,106.430000,104.169998,106.000000,105.471497,4183600
2023-01-11,105.809998,106.440002,104.860001,106.300003,105.770004,5634400
2023-01-12,106.290001,106.440002,105.169998,105.849998,105.322243,4882000
2023-01-13,105.070000,107.300003,105.070000,107.230003,106.695366,5527500
2023-01-17,106.949997,107.599998,106.309998,106.750000,106.217758,7477200
2023-01-18,107.139999,107.470001,104.910004,105.000000,104.476486,5725800
2023-01-19,105.000000,105.699997,104.239998,104.260002,103.740173,5115800
2023-01-20,104.400002,105.199997,103.889999,105.040001,104.516289,6542600
2023-01-23,105.040001,106.889999,104.400002,106.209999,105.680450,6320500
2023-01-24,106.400002,106.870003,105.410004,106.639999,106.108307,5517200
2023-01-25,106.059998,107.139999,105.900002,106.980003,106.446617,5416900
2023-01-26,107.300003,108.800003,107.059998,108.760002,108.217735,6324100
2023-01-27,108.739998,109.760002,108.339996,109.019997,108.476440,6848300
2023-01-30,108.260002,108.870003,107.419998,108.400002,107.859535,6880700
2023-01-31,108.260002,109.150002,107.500000,109.139999,108.595840,5816300
2023-02-01,108.970001,110.779999,107.980003,109.989998,109.441605,5841200
2023-02-02,110.040001,110.830002,108.000000,109.150002,108.605797,9852900
2023-02-03,104.580002,106.440002,103.040001,104.300003,103.779976,15194200
2023-02-06,104.000000,106.169998,103.300003,105.019997,104.496384,6392200
2023-02-07,104.830002,107.379997,104.559998,106.830002,106.297363,6207500
2023-02-08,106.320000,106.540001,105.650002,106.300003,105.770004,5557500
2023-02-09,105.730003,106.610001,105.599998,106.050003,106.050003,5608400
2023-02-10,105.519997,107.260002,105.470001,107.089996,107.089996,6292000
2023-02-13,107.449997,108.930000,107.279999,108.519997,108.519997,5192400
2023-02-14,107.930000,108.470001,106.699997,107.980003,107.980003,5109400
2023-02-15,107.500000,109.000000,107.260002,109.000000,109.000000,4060400
2023-02-16,107.760002,109.099998,107.410004,107.540001,107.540001,4596800
2023-02-17,106.739998,107.459999,106.230003,107.099998,107.099998,6876100
2023-02-21,106.735001,105.949997,104.709999,104.779999,104.779999,5425413
